scene_id,object_id,source_row_index,object_name,object_category,object_image_path,included,sampling_seed,sampling_pass,category_size,source_csv_sha256
kitchen,kitchen_0025,25,KAC_Micro_Tray_V2,tray,request_log_kitchen/request_images/object_inference/20260821T080629637205Z_bb9b38a5_9_iso1.jpg,1,s2t-study1-v1,1,2,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0027,27,KA-F1000_FridgeSBS_V1,refrigerator,request_log_kitchen/request_images/object_inference/20260821T080638780349Z_c5d3a22f_9_iso1.jpg,1,s2t-study1-v1,1,2,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0030,30,cuttingboard 1,cutting board,request_log_kitchen/request_images/object_inference/20260821T080649052048Z_fcf9751a_9_iso1.jpg,1,s2t-study1-v1,1,2,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0031,31,spatula (1),spatula,request_log_kitchen/request_images/object_inference/20260821T080655264379Z_2d4e6ea1_9_iso1.jpg,1,s2t-study1-v1,1,4,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
kitchen,kitchen_0003,3,egrdg,microwave,request_log_kitchen/request_images/object_inference/20260821T080457218395Z_5ae25ee9_9_iso1.jpg,1,s2t-study1-v1,2,5,8b3fe7c465206986ea0fe9c68cc9d499d0ef7f61f5fe547c2028f3dfc08f14c6
cabin,cabin_0006,6,PFB_TV,television,request_log_cabin/request_images/object_inference/20260817T201137718588Z_383d9949_9_iso1.jpg,1,s2t-study1-v1,1,4,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0013,13,PFB_Bed,bed,request_log_cabin/request_images/object_inference/20260817T201212783178Z_8d4c8afd_9_iso1.jpg,1,s2t-study1-v1,1,2,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0014,14,PFB_DiningChair,chair,request_log_cabin/request_images/object_inference/20260817T201210949609Z_0e7c418f_9_iso1.jpg,1,s2t-study1-v1,1,10,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0019,19,PFB_BathroomSink,cabinet,request_log_cabin/request_images/object_inference/20260817T201241779567Z_f8aa9a43_9_iso1.jpg,1,s2t-study1-v1,1,4,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0022,22,PFB_Fireplace,fireplace,request_log_cabin/request_images/object_inference/20260817T201249745140Z_ea7b46a4_9_iso1.jpg,1,s2t-study1-v1,1,2,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0027,27,PFB_Basket,waste basket,request_log_cabin/request_images/object_inference/20260817T201316511349Z_72bf60d6_9_iso1.jpg,1,s2t-study1-v1,1,2,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0028,28,PFB_DiningTable,dining table,request_log_cabin/request_images/object_inference/20260817T201328639368Z_56d48d3e_9_iso1.jpg,1,s2t-study1-v1,1,2,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0033,33,PFB_Carpet,carpet,request_log_cabin/request_images/object_inference/20260817T201338955733Z_028898d4_9_iso1.jpg,1,s2t-study1-v1,1,2,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0034,34,PFB_ChestOfDraws,chest of drawers,request_log_cabin/request_images/object_inference/20260817T201339027429Z_bcad0f36_9_iso1.jpg,1,s2t-study1-v1,1,2,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0046,46,PFB_SofaSmall,sofa,request_log_cabin/request_images/object_inference/20260817T201339922138Z_f9363c5c_9_iso1.jpg,1,s2t-study1-v1,1,4,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0052,52,PFB_Lamp (1),table lamp,request_log_cabin/request_images/object_inference/20260817T201340330714Z_252dde69_9_iso1.jpg,1,s2t-study1-v1,1,4,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0054,54,PFB_Fridge,refrigerator,request_log_cabin/request_images/object_inference/20260817T201340489430Z_7314113b_9_iso1.jpg,1,s2t-study1-v1,1,2,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0055,55,PFB_OvenExhaustFan,range hood,request_log_cabin/request_images/object_inference/20260817T201333409096Z_0e474068_9_iso1.jpg,1,s2t-study1-v1,1,2,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0056,56,PFB_Stove,stove,request_log_cabin/request_images/object_inference/20260817T201344408777Z_227ef82f_9_iso1.jpg,1,s2t-study1-v1,1,2,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
cabin,cabin_0058,58,PFB_Toilet,miniature toilet,request_log_cabin/request_images/object_inference/20260817T201344549778Z_354d52a2_9_iso1.jpg,1,s2t-study1-v1,1,2,2f04f44c001776766b039db5ff97cf114981264018a0c653a13afce1ffa6bf85
desert,desert_0005,5,floor,terrain,request_log_desert/request_images/object_inference/20260817T184950101530Z_5b30599c_9_iso1.jpg,1,s2t-study1-v1,1,1,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0007,7,house,adobe house,request_log_desert/request_images/object_inference/20260817T184958991176Z_3a1b34e0_9_iso1.jpg,1,s2t-study1-v1,1,1,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0009,9,woods (1),bench,request_log_desert/request_images/object_inference/20260817T185014284468Z_7f8f57bb_9_iso1.jpg,1,s2t-study1-v1,1,1,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0014,14,treecut (2),tree stump,request_log_desert/request_images/object_inference/20260817T185038123442Z_72c37224_9_iso1.jpg,1,s2t-study1-v1,1,11,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0034,34,tree (10),tree,request_log_desert/request_images/object_inference/20260817T185228882130Z_53b5b972_9_iso1.jpg,1,s2t-study1-v1,1,7,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0037,37,tree (15),dead tree,request_log_desert/request_images/object_inference/20260817T185303221676Z_33208533_9_iso1.jpg,1,s2t-study1-v1,1,9,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0047,47,obstacle (2),pillar,request_log_desert/request_images/object_inference/20260817T185356674146Z_de392e31_9_iso1.jpg,1,s2t-study1-v1,1,3,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0048,48,obstacle (4),fence post,request_log_desert/request_images/object_inference/20260817T185403923176Z_866f01c4_9_iso1.jpg,1,s2t-study1-v1,1,2,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0082,82,mountains (13),mountain,request_log_desert/request_images/object_inference/20260817T185703823996Z_be38d259_9_iso1.jpg,1,s2t-study1-v1,1,12,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0084,84,fence,wooden fence,request_log_desert/request_images/object_inference/20260817T185718831873Z_7a4e8bed_9_iso1.jpg,1,s2t-study1-v1,1,1,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0085,85,fence (1),fence,request_log_desert/request_images/object_inference/20260817T185726791321Z_d3a5ff5c_9_iso1.jpg,1,s2t-study1-v1,1,1,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0087,87,grass (1),bush,request_log_desert/request_images/object_inference/20260817T185736794052Z_345baff3_9_iso1.jpg,1,s2t-study1-v1,1,1,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0104,104,rock (6),rock formation,request_log_desert/request_images/object_inference/20260817T185939490309Z_ada08b32_9_iso1.jpg,1,s2t-study1-v1,1,19,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0112,112,small rock (3),rock,request_log_desert/request_images/object_inference/20260817T190036330348Z_c1eeda2a_9_iso1.jpg,1,s2t-study1-v1,1,4,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
desert,desert_0113,113,small rock (5),boulder,request_log_desert/request_images/object_inference/20260817T190050938137Z_a76b01ee_9_iso1.jpg,1,s2t-study1-v1,1,15,3369090ebea3c0ac991bfdb2ec4c8b4e47ca4f3bacf4a45b1bab04f516ed986a
gingerbread,gingerbread_0014,14,Bed_001,bed,request_log_gingerbread/request_images/object_inference/20260817T202718653900Z_a8c1c303_9_iso1.jpg,1,s2t-study1-v1,1,2,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0058,58,Cup_001,miniature cup,,1,s2t-study1-v1,1,3,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0132,132,Kitchen_Cabinet_001,kitchen cabinet,request_log_gingerbread/request_images/object_inference/20260817T203240035683Z_e9d33605_9_iso1.jpg,1,s2t-study1-v1,1,4,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0168,168,Plantform_001,miniature gingerbread house,request_log_gingerbread/request_images/object_inference/20260817T203609458167Z_2cb07daf_9_iso1.jpg,1,s2t-study1-v1,1,2,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0217,217,Window_003,window,request_log_gingerbread/request_images/object_inference/20260817T204017325204Z_42b324de_9_iso1.jpg,1,s2t-study1-v1,1,14,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0247,247,Carpet_002,rug,request_log_gingerbread/request_images/object_inference/20260817T205633785509Z_e59807ff_9_iso1.jpg,1,s2t-study1-v1,1,4,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0280,280,Door_001,door,request_log_gingerbread/request_images/object_inference/20260817T205635276565Z_36313422_9_iso1.jpg,1,s2t-study1-v1,1,4,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0294,294,Fireplace_fire_001,fireplace,request_log_gingerbread/request_images/object_inference/20260817T205635969536Z_f2c287b9_9_iso1.jpg,1,s2t-study1-v1,1,2,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0295,295,Fireplace_firewood_001,firewood,request_log_gingerbread/request_images/object_inference/20260817T205636039898Z_2619528f_9_iso1.jpg,1,s2t-study1-v1,1,2,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0368,368,Kitchen_stove_door_001,oven door,request_log_gingerbread/request_images/object_inference/20260817T205639318435Z_70436a08_9_iso1.jpg,1,s2t-study1-v1,1,2,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0371,371,Kitchen_Table_003,table,request_log_gingerbread/request_images/object_inference/20260817T205639466200Z_564e98ce_9_iso1.jpg,1,s2t-study1-v1,1,8,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0374,374,Light_002,table lamp,request_log_gingerbread/request_images/object_inference/20260817T205639614398Z_b00b9668_9_iso1.jpg,1,s2t-study1-v1,1,12,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0421,421,Snowman_001,snowman,request_log_gingerbread/request_images/object_inference/20260817T205641867566Z_d4d23f7b_9_iso1.jpg,1,s2t-study1-v1,1,2,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0424,424,Utensils_001,kitchen utensils,request_log_gingerbread/request_images/object_inference/20260817T205642051151Z_8c41db90_9_iso1.jpg,1,s2t-study1-v1,1,2,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
gingerbread,gingerbread_0429,429,Utensils_004,rolling pin,request_log_gingerbread/request_images/object_inference/20260817T205642253933Z_acf30df0_9_iso1.jpg,1,s2t-study1-v1,1,2,3e94fa012d8ee32c733283297bf743491ec7c2a4d128be05ccfabf4be3c4497f
winter,winter_0004,4,floor,ice rink,request_log_winter/request_images/object_inference/20260817T191705133672Z_f22f4998_9_iso1.jpg,1,s2t-study1-v1,1,2,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0005,5,base,ice platform,request_log_winter/request_images/object_inference/20260817T191705135652Z_7fc042b7_9_iso1.jpg,1,s2t-study1-v1,1,1,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0006,6,tiles,ground,request_log_winter/request_images/object_inference/20260817T191705238545Z_63ccea74_9_iso1.jpg,1,s2t-study1-v1,1,1,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0007,7,leaves,bush,request_log_winter/request_images/object_inference/20260817T191705248447Z_3e79674f_9_iso1.jpg,1,s2t-study1-v1,1,2,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0009,9,wood,bench,request_log_winter/request_images/object_inference/20260817T191705383560Z_7130c509_9_iso1.jpg,1,s2t-study1-v1,1,5,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0011,11,vase,planter,request_log_winter/request_images/object_inference/20260817T191705488592Z_d6709d60_9_iso1.jpg,1,s2t-study1-v1,1,1,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0018,18,snowman,snowman,request_log_winter/request_images/object_inference/20260817T191705872764Z_0ab4af46_9_iso1.jpg,1,s2t-study1-v1,1,3,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0019,19,igloo,igloo,request_log_winter/request_images/object_inference/20260817T191705873972Z_bc04e2d1_9_iso1.jpg,1,s2t-study1-v1,1,2,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0025,25,tiles (1),ice tiles,request_log_winter/request_images/object_inference/20260817T191706156622Z_24c510f1_9_iso1.jpg,1,s2t-study1-v1,1,1,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0026,26,tiles (2),ice patch,request_log_winter/request_images/object_inference/20260817T191706242608Z_54d6b05b_9_iso1.jpg,1,s2t-study1-v1,1,1,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0028,28,leaves (2),plant,request_log_winter/request_images/object_inference/20260817T191706332628Z_34e1aa3a_9_iso1.jpg,1,s2t-study1-v1,1,5,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0051,51,flower (6),flower,request_log_winter/request_images/object_inference/20260817T191707426703Z_aacb5049_9_iso1.jpg,1,s2t-study1-v1,1,8,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0116,116,pine tree (12),pine tree,request_log_winter/request_images/object_inference/20260817T191721677903Z_7c355711_9_iso1.jpg,1,s2t-study1-v1,1,15,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0119,119,lamp (2),street lamp,request_log_winter/request_images/object_inference/20260817T191745535485Z_0f9b444e_9_iso1.jpg,1,s2t-study1-v1,1,3,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
winter,winter_0126,126,vase (1),flower box,request_log_winter/request_images/object_inference/20260817T191826610959Z_b4f4dba3_9_iso1.jpg,1,s2t-study1-v1,1,1,e72a517796c442a6a149fd271f0da550e966af7ab477a08a3b416530b93a84bb
